MFG Brand Name ,86250
Bullet02 ,86248
Bullet03 ,86226
Bullet04 ,86174
Bullet01 ,85940
Product Width (in.) ,61137
Bullet05 ,60529
Product Height (in.) ,54698
Product Depth (in.) ,53652
Product Weight (lb.) ,45175
Bullet06 ,44901
Color Family ,41508
Bullet07 ,34349
Material ,31500
Color/Finish ,28564
Bullet08 ,26645
Certifications and Listings ,24583
Bullet09 ,20567
Assembled Height (in.) ,18299
Assembled Width (in.) ,18263
Assembled Depth (in.) ,18198
Product Length (in.) ,16705
Bullet10 ,14763
Indoor/Outdoor ,12939
Bullet11 ,11784
Commercial / Residential ,9530
Bullet12 ,8795
ENERGY STAR Certified ,8420
Hardware Included ,7462
Package Quantity ,6904
Bullet13 ,6348
Flooring Product Type ,6256
Color ,6222
Tools Product Type ,6169
Included ,6079
Voltage (volts) ,6068
Assembly Required ,5718
Features ,5562
Wattage (watts) ,5107
Finish ,4997
Shape ,4892
Color/Finish Family ,4630
Electrical Product Type ,4409
Finish Family ,4213
Fixture Color/Finish ,4119
Product Thickness (in.) ,4080
Style ,4061
Interior/Exterior ,3954
Bullet14 ,3853
Number of Bulbs Required ,3802
Coverage Area (sq. ft.) ,3756
Finish Type ,3658
Collection Name ,3583
Power Tool Product Type ,3442
Paint Product Type ,3427
Outdoor Living Product Type ,3395
Hardware Finish Family ,3388
Bulb Type Included ,3331
Reconditioned ,3254
Light Source ,3204
Amperage (amps) ,3175
Paint/Stain Key Features ,3168
Container Size ,3128
Bulb Type ,3120
Bullet20 ,3120
Dry to touch (min.) ,3117
Light Bulb Base Code ,2988
Fastener Type ,2982
Bullet15 ,2913
Bullet18 ,2859
Product Thickness (mm) ,2823
Builders Hardware Product Type ,2785
Door Type ,2779
Transparency ,2713
Paint/Stain Clean Up ,2686
Door Handing ,2533
Sheen ,2497
Weight Capacity (lb.) ,2497
Adjustable Lamp Head ,2485
Frame Material ,2376
Time before recoating (hours) ,2342
Appliance Type ,2322
Number of Doors ,2282
Fixture Color/Finish Family ,2256
Product Length (ft.) ,2241
Maximum Wattage (watts) ,2222
Application Method ,2171
Weather Resistant ,2134
Number of Pieces ,2065
Approximate Tile Size ,2036
Faucet type ,2019
Shade Color Family ,2006
Size ,2003
Decor Product Type ,2000
Application Type ,1975
Paintable/Stainable ,1955
RGB Value ,1937
Power Type ,1927
Flow rate (gallons per minute) ,1920
Bullet16 ,1897
Kitchen Product Type ,1895
Measurement Standard ,1891
Storage Product Type ,1879
Faucet Features ,1870
Mildew Resistant ,1869
Faucet Included Components ,1868
Number in Package ,1865
Connection Type ,1853
Coating Product Category ,1840
Type ,1803
Glass Style ,1797
Waterproof ,1764
Accessory Type ,1759
Paint/Stain/Waterproofer Product Type ,1753
Door Size (WxH) in. ,1742
Door Thickness (in.) ,1734
Plumbing Part Type ,1693
Cordless/Corded ,1683
Bulb(s) Included ,1682
Tile Use ,1682
Style Type ,1680
Number of Tiles per Case ,1679
Suggested Grout Line Size ,1679
Tile Finish ,1679
Tile Material ,1679
Compatible Pipe Material ,1674
Number of Drawers ,1673
Pipe or Fitting Product Type ,1643
Individual/Set ,1636
Hand Tool Type ,1621
Installation Type ,1606
Vanity Included Components ,1589
Fastener/Connector Material ,1586
Stain Resistant ,1581
Vanity Features ,1571
Drain Location ,1567
Moisture Resistant ,1561
Paint/Stain Base Material ,1557
Outdoor Lighting Features ,1532
Stainable/Paintable ,1512
Housing Material ,1500
Maximum working pressure (psi) ,1469
Spout Reach (in.) ,1465
Rug Shape ,1451
Bath Faucet Type ,1450
Cleaning instructions ,1443
Spout Type ,1441
Cord Length (ft.) ,1437
Fastener length (in.) ,1437
Actual Color Temperature (K) ,1421
Cut-Out Left to Right Length (in.) ,1410
Construction ,1402
Basin Depth (in.) ,1400
Batteries Included ,1385
Number of Shelves ,1361
Basin Length (in.) ,1359
Basin Width (in.) ,1359
Light Output (lumens) ,1345
Commercial ,1338
Professional/ Residential ,1335
Pile height (in.) ,1334
Exterior Lighting Product Type ,1326
Fastener Callout Size ,1312
Bulb Shape ,1300
Power Tool Accessory Type ,1290
Application ,1280
Fastener Plating ,1278
Cut-Out Front to Back Width (in.) ,1275
Control Type ,1265
Dusk to Dawn ,1259
Glass/Lens Type ,1259
Antimicrobial ,1249
Tile Features ,1237
Drive Style ,1235
Prefinished ,1230
Lock Type ,1226
Interior/Exterior Paint ,1225
Handle type ,1223
Commercial/Residential ,1217
Vanity Type ,1199
Mount Type ,1184
Connection size (in.) ,1182
UV Resistant ,1182
Lighting Technology ,1175
